<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEG.US,D,20251217,000000,14.58,14.94,10.8861,10.8861,26836,0
BEG.US,D,20251218,000000,12.74,12.87,11.7197,11.7197,7662,0
BEG.US,D,20251219,000000,12.6786,14.91,12.6786,14.2374,50128,0
BEG.US,D,20251222,000000,15.98,15.98,14.68,15.2967,19985,0
BEG.US,D,20251223,000000,15.1,15.34,14.23,15.1281,15793,0
BEG.US,D,20251224,000000,15.02,15.2721,14.98,15.2721,1238,0
BEG.US,D,20251226,000000,14.5417,15.03,14.19,14.6359,3248,0
BEG.US,D,20251229,000000,13.53,14.06,13.53,13.9902,5561,0
BEG.US,D,20251230,000000,14.77,14.77,13.05,13.6543,4237,0
BEG.US,D,20251231,000000,13.65,13.87,13.2,13.5147,1135,0
BEG.US,D,20260102,000000,14.29,17.24,14.29,17.1106,8247,0
BEG.US,D,20260105,000000,18.96,20.11,18.121,18.9965,31150,0
BEG.US,D,20260106,000000,19.65,19.65,17.25,18.8895,4936,0
BEG.US,D,20260107,000000,19.92,22,19.63,20.4221,7992,0
BEG.US,D,20260108,000000,25.21,27.69,23.84,25.7743,31989,0
BEG.US,D,20260109,000000,26.18,31.4782,26,30.8705,25692,0
BEG.US,D,20260112,000000,29.7,32.52,29.5766,32.0449,9923,0
BEG.US,D,20260113,000000,34.1,36.29,31.81,33.615,15723,0
