<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDNL.US,D,20251210,000000,23,23.84,22.73,23.5,3595900,0
CDNL.US,D,20251211,000000,23,25.85,23,25.31,1153414,0
CDNL.US,D,20251212,000000,25.26,29.75,24.085,29.65,847148,0
CDNL.US,D,20251215,000000,29.2,29.2,25.793,28.23,452780,0
CDNL.US,D,20251216,000000,27.93,27.945,23.6,25.77,559117,0
CDNL.US,D,20251217,000000,25.72,25.75,22.5,23.9,456199,0
CDNL.US,D,20251218,000000,24,24.5,23.1678,24.28,156792,0
CDNL.US,D,20251219,000000,24.59,24.59,23.3,24.06,219228,0
CDNL.US,D,20251222,000000,24.06,24.06,23,23,235955,0
CDNL.US,D,20251223,000000,23,24.26,22.75,23.75,319194,0
CDNL.US,D,20251224,000000,23.42,24.095,23.285,23.46,98549,0
CDNL.US,D,20251226,000000,23.4,24.08,23.21,23.62,76682,0
CDNL.US,D,20251229,000000,23.45,24.73,22.09,23.68,416718,0
CDNL.US,D,20251230,000000,23.31,24.73,22.7889,23.89,288874,0
CDNL.US,D,20251231,000000,23.8,24.45,22.8,24.18,267300,0
CDNL.US,D,20260102,000000,23.98,24.32,22.145,22.62,387897,0
CDNL.US,D,20260105,000000,22.28,23.1,22,23.01,418329,0
CDNL.US,D,20260106,000000,22.66,23.1,21.98,22.03,763423,0
CDNL.US,D,20260107,000000,22,23.8,22,23.64,616803,0
CDNL.US,D,20260108,000000,23.18,23.397,22.31,22.95,199283,0
CDNL.US,D,20260109,000000,23.35,23.36,22.16,23.36,248050,0
CDNL.US,D,20260112,000000,23.26,25.295,22.925,25.08,239769,0
CDNL.US,D,20260113,000000,24.94,26.78,24.7,25.87,168980,0
