<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRANU.US,D,20251217,000000,10.06,10.075,10.05,10.05,1213342,0
CRANU.US,D,20251218,000000,10.05,10.08,10.05,10.05,574559,0
CRANU.US,D,20251219,000000,10.07,10.1,10.05,10.06,281573,0
CRANU.US,D,20251222,000000,10.07,10.07,10.05,10.05,777757,0
CRANU.US,D,20251223,000000,10.055,10.06,10.05,10.05,31455,0
CRANU.US,D,20251224,000000,10.04,10.04,10.04,10.04,847,0
CRANU.US,D,20251226,000000,10.065,10.08,10.05,10.06,6631,0
CRANU.US,D,20251229,000000,10.07,10.07,10.05,10.0599,99211,0
CRANU.US,D,20251230,000000,10.05,10.07,10.05,10.06,138158,0
CRANU.US,D,20251231,000000,10.06,10.07,10.06,10.07,36719,0
CRANU.US,D,20260102,000000,10.08,10.08,10.06,10.07,25162,0
CRANU.US,D,20260105,000000,10.07,10.08,10.0633,10.07,8499,0
CRANU.US,D,20260106,000000,10.0666,10.07,10.04,10.06,650542,0
CRANU.US,D,20260107,000000,10.05,10.08,10.05,10.05,147265,0
CRANU.US,D,20260108,000000,10.06,10.06,10.05,10.06,96101,0
CRANU.US,D,20260109,000000,10.05,10.06,10.05,10.0556,82443,0
CRANU.US,D,20260112,000000,10.08,10.13,10.08,10.12,112498,0
CRANU.US,D,20260113,000000,10.13,10.9,10.11,10.11,17145,0
